Department,Year,Budget,Actual Expenditure,Personnel Costs,Operational Costs,Capital Expenditures,Overtime Costs,Travel and Training,Supplies and Materials,Maintenance Costs,Revenue Generated,Efficiency Metrics,Notes
Operations,2024,215640,215640,82979,48751,9080,16986,19908,29552,14353,18861,0.8505098462665135,Additional training expenses
Marketing,2024,255704,255704,57597,11869,17972,16811,6751,24350,8522,15860,0.5157732861786358,-
Marketing,2023,319580,299220,103905,54264,6760,8198,9717,24744,18635,67800,0.6264255745673522,Increased maintenance
Marketing,2022,398857,398857,178940,40268,16274,6263,15411,27046,13664,31740,0.7711993687832026,Additional training expenses
IT,2024,469970,469970,96970,94564,42476,18818,6237,29454,10860,969,0.8859158108387595,Additional training expenses
Operations,2023,372338,168523,83805,49606,28304,17757,9791,20829,7026,39396,0.6293727254382813,Increased maintenance
Operations,2023,74544,70662,139779,23550,17166,8832,9236,14604,14829,600,0.6934104611541034,High overtime costs
IT,2022,113295,113295,167708,15702,8398,11954,10345,14925,8548,37223,0.7619476961711718,High overtime costs
Operations,2023,455854,110721,77467,88563,35625,5162,14159,28084,15432,22325,0.6380506427717662,Additional training expenses
IT,2024,246787,246787,127732,71745,15515,3811,5319,8630,15546,75060,1.199134495811159,Increased maintenance
IT,2022,119409,119409,168079,34459,19705,3306,18251,8869,18046,2716,1.0632992992855619,-
IT,2024,299720,299720,121460,66782,41329,8637,1375,10200,5905,12708,1.0676556320711805,-
Marketing,2024,176839,90108,154461,97822,15607,12133,8130,15683,11364,96836,0.8982046996166435,Additional training expenses
Operations,2024,425903,141788,138105,16032,35006,14218,6992,7039,19507,17165,1.1729272341290444,-
IT,2023,329301,294437,144535,11825,18018,8704,13850,18079,6183,61152,1.0125404606291597,Increased maintenance
Operations,2023,226637,226637,29458,87090,14816,15885,19700,28838,15411,1434,0.7316150434447738,-
Marketing,2024,251068,251068,88481,58101,25494,1401,13235,6307,18374,14852,0.9273686619397427,-
IT,2024,115888,115888,94888,70109,26237,10004,17982,11634,16836,37106,0.8805900326976825,Increased maintenance
HR,2022,237167,237167,96022,22470,11831,545,4949,6724,6088,14965,0.9062021765512771,High overtime costs
Marketing,2022,377091,99966,192472,13770,45963,2533,6572,27054,6192,25592,1.0724086707567695,High overtime costs
HR,2023,383024,235846,87628,37268,35541,2009,13730,9690,7128,59563,0.8566933048456346,Additional training expenses
Operations,2023,54507,54507,187599,10029,8447,5901,12589,7455,10387,68238,1.0100483515665952,Increased maintenance
Operations,2022,415278,127228,90648,40083,10584,4085,17022,19662,8451,92928,0.675417746232122,High overtime costs
Marketing,2024,93988,93988,36937,18958,32156,2215,4166,22325,17033,20375,1.1524433616736536,-
Operations,2023,410565,410565,188744,18806,41559,16041,10114,12092,19408,8651,0.5604675115709931,Additional training expenses
HR,2024,197937,197937,21112,42162,26465,15763,645,26679,5331,56684,1.1955059383626705,Increased maintenance
IT,2022,414735,93021,186617,84732,47120,2184,5884,12688,14403,81725,0.9428711758053303,Increased maintenance
IT,2023,441758,431059,68355,44889,22217,10354,12461,15005,6048,82451,0.8289660280277183,Additional training expenses
IT,2023,77213,77213,95561,37702,15190,1275,16473,8061,17280,1977,0.7175474918928769,High overtime costs
Marketing,2022,499170,470594,185154,45777,10335,9504,14703,15586,7275,77005,0.7835993201269029,Additional training expenses
Operations,2023,107450,107450,138181,62971,11260,3523,15136,14476,10237,46828,1.0476963096503198,Additional training expenses
HR,2022,447693,302646,80482,17739,30778,8707,11470,29971,18419,52916,0.5976030740978675,Increased maintenance
Operations,2023,112222,112222,99098,34599,20605,1019,15421,8763,11385,98594,0.676879597622678,Increased maintenance
Operations,2022,449749,449749,162376,46827,23559,1049,550,17441,6634,71613,0.5866091623931466,-
Operations,2023,492611,116330,142978,86821,47341,13381,5224,29078,16797,57020,0.7986581636732146,Additional training expenses
IT,2024,204468,204468,76625,78446,25557,2340,13550,7888,12648,52727,0.7710558804906851,Increased maintenance
HR,2024,62755,62755,195957,90210,40556,9449,5581,14914,5502,53801,0.9541494324445396,Increased maintenance
HR,2024,181937,181937,144359,93890,48781,18662,9435,25827,8569,43435,1.197001140370792,Increased maintenance
Operations,2023,192245,192245,91246,33039,29917,15622,3479,9006,14271,72150,1.124651488693595,Increased maintenance
IT,2023,239977,95313,32588,54929,30937,2985,9137,22470,12316,64353,1.1162643846170148,Additional training expenses
IT,2024,219169,219169,135910,53884,36538,12061,6091,11499,14526,63811,0.9519957230649585,Additional training expenses
HR,2024,345515,282783,148658,35146,11721,5705,2633,6304,9647,99943,0.6894258074290297,High overtime costs
IT,2022,285132,285132,40967,55819,25575,17528,6790,16304,9018,8446,0.7688599618044377,Additional training expenses
IT,2022,454470,198430,150153,93162,12312,705,3501,27894,18211,84557,0.6750854911865692,Increased maintenance
IT,2022,185090,185090,44256,92632,9616,18808,889,22398,9216,49202,0.5945588069806135,-
Marketing,2024,317336,317336,176124,41308,38763,18318,8765,17564,10891,799,0.8052218717036224,Additional training expenses
Operations,2024,314159,314159,148121,23054,38124,2484,14197,29796,15265,57443,1.1282745365194642,High overtime costs
HR,2024,420298,420298,100732,89606,29761,1745,4160,27232,17246,9939,1.0206887704070537,Additional training expenses
HR,2022,249988,78365,150145,62018,6693,16216,10156,16997,10231,92623,1.1893865271352606,Increased maintenance
Marketing,2023,78343,78343,153578,36250,7590,9161,4051,14318,19846,39410,0.6363719980355147,High overtime costs
Operations,2024,381450,57248,118120,24413,35870,18930,18614,15314,13214,64402,0.8503808390928287,Increased maintenance
HR,2023,55829,54369,171781,87391,14534,13974,16227,13664,12848,16620,1.0551322691050953,Increased maintenance
IT,2023,84381,84381,64840,48921,12921,777,6197,10120,15041,49623,0.8223228378245946,Additional training expenses
HR,2023,423595,340749,132647,81123,6691,9525,13532,21799,12431,62861,0.748538065418332,Additional training expenses
IT,2022,262153,262153,79321,84363,47042,10309,2283,23252,15355,96553,1.0711207698400407,High overtime costs
Marketing,2023,330407,330407,63202,35785,7904,10580,4984,18985,5479,7181,0.8012156302370108,High overtime costs
IT,2024,284748,284748,154162,66865,49155,3114,16995,9112,7354,41098,1.1390771815105378,High overtime costs
HR,2022,496476,221955,79231,16861,49377,12405,13414,22917,19566,47178,0.6878809798413198,High overtime costs
HR,2024,486522,83055,41552,86340,44705,2936,6837,29306,15940,60206,1.1275176282260477,-
HR,2024,370562,249803,184813,23979,35956,1345,13732,6462,15731,44055,0.6949225887705002,High overtime costs
Marketing,2022,271970,271970,41661,76833,23764,2041,7275,19190,9864,20885,0.7026950192918614,Additional training expenses
Marketing,2024,50148,50148,192097,10357,13208,14330,8715,29082,6143,18096,0.7944089902535438,-
Operations,2024,444970,183997,157164,57201,20783,13198,3577,6865,7333,25526,0.8610682989140847,Increased maintenance
HR,2022,338889,100272,186746,64254,13515,19058,14739,9009,10083,23094,0.7927575627211506,Increased maintenance
IT,2024,122914,55310,151642,92160,7070,7504,11590,16322,12952,3796,1.10350436317783,High overtime costs
Marketing,2023,499049,81817,163156,20796,22314,9747,18645,19538,12574,86344,1.056898363813015,Increased maintenance
HR,2024,463356,463356,85843,33238,18771,17073,1023,29357,18669,95906,0.716904438174474,-
HR,2023,110653,110653,89278,60978,36240,119,15437,12710,10271,54571,0.8580639186230847,Additional training expenses
Marketing,2024,273607,265888,114328,50883,22828,6169,11318,8177,7645,83619,0.8017209181526943,Additional training expenses
Operations,2022,242593,132641,151837,95478,49996,5832,11023,24249,10444,75864,0.5392492262836661,-
Marketing,2022,390459,265155,146355,79396,29978,14649,15430,8197,11067,4110,1.0237028753483348,High overtime costs
Marketing,2024,343219,257382,44198,14447,25936,12246,7235,7461,5838,85292,0.6271666284727155,High overtime costs
IT,2022,473913,65457,81201,30523,31082,1613,10619,29166,12413,48445,1.153899207740516,High overtime costs
IT,2024,497760,92311,93271,74079,22905,15575,8068,18986,15041,42843,0.7784448799151102,-
Operations,2022,59795,59795,198271,74823,8098,7623,1284,8581,13191,30897,0.9355805931425312,High overtime costs
HR,2023,114555,114555,162449,59289,32020,3033,18044,13692,18205,10508,1.0728095379862688,Additional training expenses
Marketing,2024,495420,494093,131578,14849,23952,19320,14466,12994,16578,58472,0.626207713322293,-
Operations,2023,285068,173573,159108,34718,15985,5659,5353,5120,10035,30366,0.8787954462110187,-
IT,2023,153107,153107,60364,97862,13283,12255,903,6775,16044,51538,0.6661938559845378,Increased maintenance
Marketing,2024,363673,348325,135227,83002,42708,12080,9369,5606,7209,8583,0.8567695266805416,Increased maintenance
HR,2023,454888,214334,120353,70977,9762,11976,8521,29513,19947,63628,0.9056052117319238,High overtime costs
IT,2024,497454,444163,188515,98325,39521,10818,10081,12375,14584,168,0.6183987699350332,High overtime costs
IT,2023,277650,277650,152735,37135,10054,15718,16365,5819,16448,93200,0.9065730044125639,Additional training expenses
IT,2024,217022,217022,190316,40262,18276,9341,15971,16456,10048,65055,0.8184356041501476,High overtime costs
Operations,2024,61009,61009,97564,99971,10781,15196,10059,5783,6959,53117,0.8653997494672452,Additional training expenses
HR,2022,228168,213394,166149,44787,21471,16296,10707,23230,5275,85128,1.1334769131045923,High overtime costs
Marketing,2024,200616,98929,125447,25689,23025,19542,412,12560,9624,62058,0.8386621901354041,Additional training expenses
Operations,2024,498944,131696,39631,49860,40730,14134,6639,5391,14651,24556,0.8333039770122415,-
Operations,2023,79381,79381,53500,60344,10413,12241,3833,29264,16523,51879,0.8292790256589668,Additional training expenses
Operations,2024,439913,321952,170969,77891,12420,455,18799,6132,14150,85429,0.9361736993582515,High overtime costs
IT,2022,468503,145148,78915,61658,46510,7643,18970,15709,6841,23933,0.7572621207621635,Increased maintenance
HR,2023,376754,376754,188449,75869,48406,4620,12802,9445,17251,16159,1.0609520674519648,High overtime costs
Operations,2023,118122,118122,122760,45330,44678,8867,6557,18062,9145,20861,0.7002350793197414,-
Marketing,2022,380328,380328,46897,90312,31527,16126,10467,19033,18546,93538,0.709682340538282,Increased maintenance
HR,2023,483297,352094,198352,70064,48250,5099,12032,15388,19919,13556,0.9121251676470308,Additional training expenses
Marketing,2023,264709,264709,121639,37014,17029,13887,15126,19591,19140,70256,0.6819225434188703,Increased maintenance
HR,2023,488528,133576,133849,44563,46583,10546,2882,10318,10675,83633,0.5629623374823717,High overtime costs
Marketing,2023,137228,70557,131118,25270,41525,15435,11935,26946,12057,35280,0.6439098779700974,Increased maintenance
IT,2022,385087,71825,77320,41279,42564,59,2519,25823,13181,27837,1.1395601643720505,Increased maintenance
Operations,2022,130770,130770,88289,13657,41060,12673,12805,22060,16569,53741,0.5074904130493397,High overtime costs
Marketing,2023,102726,86080,51941,99422,8832,5531,4400,11251,15716,79370,0.5934229694209148,High overtime costs
HR,2023,465427,308815,165306,78773,7611,2764,8846,21978,5487,39446,1.0306277445852385,-
Operations,2022,472696,238869,95172,11027,13353,1794,16564,16343,7127,33049,1.1859025889794652,Increased maintenance
Operations,2022,359924,196874,23376,24199,48042,10721,3019,8324,10405,37694,0.9817297068516948,Additional training expenses
HR,2022,238210,238210,50783,54954,32589,5686,764,27552,11704,82349,1.1456341407787622,High overtime costs
Marketing,2023,271454,92407,192321,89317,45996,19871,10558,27810,12265,10820,1.0986650296976745,Increased maintenance
IT,2023,354647,170283,63025,25120,30421,14675,16175,29114,10597,62297,0.8359791063577647,High overtime costs
IT,2024,370037,63338,36447,66812,16068,4987,14214,7934,6940,16005,0.7334662717504986,-
Marketing,2022,227265,126289,36713,99825,8346,19805,6799,10033,15645,94460,0.9425665045969422,High overtime costs
Operations,2023,295074,199967,148869,15983,41822,12888,19774,11763,17206,86578,0.8734873876678152,High overtime costs
Operations,2022,373502,228982,24858,76629,9200,6580,14509,11086,19872,87082,0.5180805237509769,-
Operations,2023,130857,130857,79834,80325,13527,13533,9974,9333,16989,48609,1.1701080190577542,High overtime costs
Operations,2022,432601,159367,102060,12912,15535,17757,17448,16177,12735,52364,0.8991731558315745,-
Marketing,2023,465333,378042,155611,57879,22944,3553,18840,22223,9350,62974,1.1121442541743685,Increased maintenance
Operations,2024,309405,309405,169929,31873,45290,8144,5681,23894,5959,70168,1.0142411197030272,Increased maintenance
HR,2024,240128,167486,123898,24332,9164,9274,17730,9687,11630,44944,0.7385830953558778,Increased maintenance
Operations,2022,167928,167928,122207,26564,35022,12439,6997,7887,10792,60776,1.1308105945407618,Additional training expenses
IT,2023,108706,108706,156436,87795,17438,5437,9374,8043,7563,84583,1.0532956471733494,High overtime costs
Operations,2023,452692,452692,106366,30526,28104,12277,4132,23015,5463,41895,0.8008541388327199,-
Marketing,2022,394950,306055,172150,75481,9852,8749,2453,22789,15128,10534,1.0883347736022555,High overtime costs
IT,2023,105006,105006,188646,62775,11713,13785,538,29016,12671,67224,0.6900866328831516,Additional training expenses
Marketing,2022,137238,137238,20869,96649,8183,5915,10615,11115,17323,87855,0.9694784351775949,High overtime costs
Marketing,2023,298018,298018,82624,26006,36354,9734,2303,27879,13207,816,0.5802072237640348,Additional training expenses
IT,2022,244227,244227,191147,31643,13032,14703,16632,23873,17262,98110,1.1060374147895518,High overtime costs
Marketing,2023,357942,357942,113676,99949,19275,2382,17775,25874,5918,45935,1.0106028668635252,Additional training expenses
Marketing,2022,127271,127271,23659,73128,23793,9473,18556,21389,11087,33445,0.6067974818826913,-
Operations,2023,342321,124935,187442,52523,42066,4358,1335,23965,19200,10446,0.5149342236835626,High overtime costs
HR,2024,440166,239864,126888,80220,23918,8312,2259,13411,19984,95339,0.7729075124040456,High overtime costs
Marketing,2023,442300,325830,78185,83390,10599,14031,6615,13203,6613,13815,0.9726908134508084,-
Marketing,2022,394359,113528,137136,62784,37771,139,8691,7842,14014,93095,0.698203184554225,-
Marketing,2024,93013,93013,194823,97893,18440,7644,810,10504,7120,76042,1.181278631586463,Increased maintenance
Operations,2023,132600,132600,82758,69701,16289,1815,3713,28231,8391,2446,1.1542769717483838,Additional training expenses
HR,2024,408243,408243,156203,27946,48808,4301,3704,13649,15158,83808,0.9185583251646579,-
IT,2023,365594,365594,152430,23127,10161,12330,1210,29742,6881,1720,0.7209193508107091,Increased maintenance
Operations,2024,491144,238499,111150,39404,5964,15185,14211,20675,13931,26479,1.127388476299029,Additional training expenses
Operations,2022,434784,310141,167318,98424,20942,7285,16098,12283,12362,65759,1.062429588534005,Increased maintenance
HR,2023,404547,154887,37216,27401,43369,9220,3745,19149,18045,78488,0.5603080469103946,High overtime costs
HR,2023,488598,111086,61209,25428,19184,10446,10178,6973,10001,99238,0.8334259807382984,Additional training expenses
Operations,2022,149290,149290,62987,74372,7947,14150,17875,19833,16258,58656,1.186850426646111,High overtime costs
IT,2024,266110,266110,128024,21971,48275,8536,15816,23579,12256,34076,0.8177337619806466,High overtime costs
Operations,2022,181832,113308,171649,98018,49857,18803,15620,12574,8843,46265,1.1530359289534524,High overtime costs
